ITA,BS,CATEGORY
riposato,polsadés,
riposino,polsadì,
riposino,polsèt,
riprova,ripröa,
"ripulire, rassettare il bosco",mondà föra,
risapere,risaì,
risata,ridìda,
risata sguaiata,sgignàs,
rischiare,ris'cià,
rischiare,riscià,
rischiare,risià,
rischio,rìsio,
risciacquare,laà föra,
risciacquare,rezentà,
risciacquata,rezentàda,
riscuotere,scödër,
riscuotere,scüdì,
riso,rìs,botanica
riso con lingua salmistrata,ris a la carmelitàna,cucina
riso con prezzemolo,ris al pedërsèm,cucina
riso con regaglie di pollo,ris spórch,cucina
riso con soffritto di lardo,ris montagnì,cucina
riso del lupo,ris del lùf,botanica
riso di biscia,ris de bìs,botanica
riso matto,rìs màt,botanica
risollevare,risoleà,
risparmiare,sparagnà,arcaico
risparmiare,sparambià,arcaico
risparmiare,tègnër a ma,
risplende,sterlüs,
rissa,begù,
rissoso,bighì,
ristabilirsi,turnà sö la so,
ristretto,strèt,
ristretto,strinzìt,
ristrutturare,tirà a növ,
risucchio,risöcc,
risuolare,risulà,
risuolare,sulà,
risvolto,patèla,
ritagli di ceppo,s'cèpol,
ritagliare,strtajà,arcaico
ritaglio,ritài,
ritaglio,stretài,
ritenersi,ritignìs,
ritmo,batüda,
riunire in branco,ënrosà,
riva,rìa,
riva,riadèl,
rivedersi,riidìs,
riviera,riéra,
rivoltare,ribötà,
rivoltare,svultulà,
roano,roà,
roba scelta,sernàja,
robbia,röbia,botanica
robbia domestica,lìga,botanica
robbia domestica,röbia selvàdega,botanica
robetta,robasìna,
robinia,lègn de spì,botanica
robinia,rübì,botanica
robinia,rübìna,botanica
robinia,spì,botanica
"robiola, cacio",robiöla,
robustissimo,gròs come n'ös de prizù,figurativo
robusto,fòrt,
"rocca, canocchia, canna per filare",ròca,
"rocca, fortezza",róca,
"roccata, pennecchio",garzöl,
rocchetto di cartone,spagnolèta,
rocchetto di cartone,spölèta,
rocchetto di legno,rochèl,
rocchi (fare),trözà,arcaico
rocchio,tröz,
rocchio,trozèt,arcaico
roccia a punta,pìch,
roccia a vista,còrna,
roccolo,casì del ròcol,caccia
rodere,smajà,
rododendri,antelér,botanica
rododendri,bordéne,botanica
rododendri,maècc,botanica
rododendri,mantalér,botanica
rododendri,maraìne,botanica
rododendri,marós,botanica
rododendri,maècc,botanica
rododendri,mordéne pelùse,botanica
rododendri,müsichìna,botanica
rododendri,scórsoi,botanica
rododendri,scursài,botanica
rododendro ferrugineo,mordéna,botanica
roggia,ròza,arcaico
roggia,sariöla,
rogo,fogarù,
rogo-cervone o stracciabrache,strasèra,botanica
romice alpino,lapàs,botanica
romice alpino,römës,botanica
romice alpino,sisabòtol,botanica
romice cavolaccio,römës,botanica
romice dei prati,lèngua de àca,botanica
romitaggio,romitóre,
rompere,sberpà,arcaico
rompere,s'ciancà,arcaico
rompere,schincà,
rompere il collo,scolengà,
rompersi,sbogiàs,
rompersi il collo,scolengàs,
rompicapo,scarpelamènt,
rompicapo,scarpelamènt de cò,
rompicapo,smachinamènt de có,
rompiscatole,casaìde,figurativo
rompiscatole,sëcabàle,
rompiscatole,sëcabalòte,
rompiscatole,sëcatóti,
"rompiscatole, impiccione",martimpìcio,
roncola,rónca,
roncola,roncàja,
roncola piccola,roncaì,
roncola su pertica,roncù,
roncolone,roncajòt,
roncolone a punta mozza,fóls,
roncolone a punta mozza,podèt mós,
roncolone da carbonaio,podèta,
roncolone da potatore,podèt penàt,
roncolone da taglialegna,podèt,
rondella,ranèla,
rondella,riparèla,
rondella,rösèta,
rondine,róndena,ornitologia
rondone,dàrdër,ornitologia
rondone,rundù,ornitologia
rondone,sbirù,ornitologia
rondone alpino,orbizù,ornitologia
rondone alpino,sbirù biànch,ornitologia
ronzare,mügià,
ronzio,vèrs de le àe,
"ronzio, rombo",mügiùr,
rosa,rösa,botanica
rosa canina,rösa de sés,botanica
rosa canina,rösa selvàdega,botanica
rosa canina,spì de scampadìghe,botanica
rosa dei venti,rösa dei vèncc,
rosa di Natale,bucanév,botanica
rosa di Natale,pisalèt,botanica
rosa di Natale,rösa de bés,botanica
rosa di Natale,rösa de Nedàl,botanica
rosa di Natale,sbüza név,botanica
rosa gallica,rösa de la tèpa,botanica
rosa gallica,rösa selvàdega,botanica
rosaio,rosài,
rosicchiare,rosegà,
rosicchiare,rösià,arcaico
rosicchiato,rosegàt,
rosicchiato dai topi,soregàt,arcaico
rosmarino,osmarìt,botanica
rosmarino,ramerì,botanica
rosmarino,rosmarì,botanica
rosolaccio,rosöle,botanica
rosolare,dà 'l tèst,arcaico
rosolia,fèrse,malattia/male
rosolia,rósole,malattia/male
rospo,bòta,
rospo,rapatù,
rospo,sàt,arcaico
rospo,satì,arcaico
rossa,rósa,
rossetto,rosèt,
rossiccio,rosés,
rosso,rós,
"rosume, fondo di mangiatoia",rösie,
roteare,pirlà,
roteare,rochetà,
rotellina,rüdilìna,
rotolare,birulà,
rotolare,ridulà,
rotta,róta,
rotta,schincàda,
rotta,spacàda,
rottame,ratatüa,
rottame,rösgiàm,
rotula,bàla del zönöcc,anatomia
rotula,borèla del zönöcc,anatomia
rotula,rödèla del zönöcc,anatomia
rovere,saradèl,botanica
rovere,rùër,botanica
rovere,rùër màs'cc,botanica
rovesciare,roerà,
rovesciare,streacà,
rovesciata,roersàda,
rovesciata,streacàda,
rovesciato,ënversàt,
rovesciato,streacàt,
rovescio,ënvèrs,
rovescio,roèrs,
rovescio d'acqua,scról,arcaico
rovina,roìna,
rovinare,roinà,
rovistare,fofignà,arcaico
rovistare,römà,
rovistare,römà sö,
rovistare,sgarià,
rovo,móre,botanica
rovo,ràze,botanica
rovo,roéda,botanica
rovo,spi,botanica
rovo,spi de mür,botanica
rovo dei sassi,martinèle,botanica
rovo dei sassi,üguèta,botanica
rozzo,boasù,figurativo
rozzo,ciobér,arcaico
rozzo,gròs come i piò,figurativo
rozzo,magöre,arcaico
rozzo,ciobér,arcaico
rubare,brinà,
rubare,cucà,gergo-volgare
rubare,ëncispà,gergo-volgare
rubare,gratà,figurativo
rubare,rostésër,figurativo
rubare,sgrancì,gergo-volgare
rubare,sgrafà,
rubare,sfrafignà,
rubare,slongà le ma,figurativo
rubato,brinàt,
rubato,cucàt,gergo-volgare
rubato,ëncispàt,
rubato,rostìt,
rubicondo,pàcio,
rubinetto,rübinèt,
ruchetta selvatica,lànzër,botanica
ruchetta selvatica,rughèta,botanica
ruffiano,röfia,
ruffiano,lëcacül,gergo-volgare
ruga,ràpa,
ruggine,rözën,
ruggito,vèrs del lîù,
rugiada,brüma,arcaico
rugiada,rozàda,
rugiada dolce di agosto,màna,
rullino,rulì,
rullo livellatore campestre,tròl,
rullo livellatore campestre,trózol,arcaico
ruminare,römà,
"rumore continuo, noioso",violòt,
rumorino,ciochèt,
ruota piccola,rödèla,
ruotare,rödelà,
ruscello,fosadèl,
russare,roncà,
russare,ronchezà,
russare,ronfà,
russola,castegnér rós,micologia
russola dorata,columbìna,micologia
russola emetica,colombìna rósa,micologia
rusticano,salvadegòt,
rustico,röstëch,
rustico,röstegù,
ruta,rüga,botanica
ruta di muro,felizìna,botanica
ruttare,fa'l prò,
ruttare,porselà,
ruttare,rötà,
ruttare,rotezà,
rutto,prò,
rutto,röt,
ruvido,deröse,arcaico
ruvido,sgrès,
ruzzolare,rödelà,
ruzzolare,traböcà,
ruzzolone,birulù,
ruzzoloni,a birulù,
ruzzoloni,a ridulù,
sabato,sàbot,
sabbia (chi trasporta s.),sabiumì,
sabbia fine,gerèt,
sabbia fine,sàbia,
sabbiature,sabiadüre,
saccenteria,spertìsia,
"saccenteria, presunzione",duturìsia,
saccentone,spertù,
sacchetto,sachèl,
sacchetto,sachilì,
sacchetto,sachitì,
sacco per foglie di gelso,pilìna,
saeppolo (tralcio al piede della vite lasciato a rinforzare per sostituire la vite vecchia),trapèl,
saetta,füséra,
saettone,scajù,rettile
saggina,mèlga,botanica
saggina,melgastrèi,botanica
sagra di paese,debelöre,
sagrestano,romét,
"sagrino, piccolo squalo",segrì,pesce-pesca
sala con camino,caminàda,
salamaio,salamér,
salamandra,bisacàgna,rettile
salamandra,sercàja,rettile
salamandra,signàgola,rettile
salame piccolo,trusitì,arcaico
salame rotondo,rosèta,
salamoia,salìna,
salario,pàga,
salassare,spinà la éna,
salcerella,marmentìne,botanica
salciaiola,risarì,ornitologia
salciaiola,risì,ornitologia
salcigno,sedùs,
salcigno,storzégn,
salcigno,stralegnàt,arcaico
salcio fragile,stropèi,botanica
"salia, ferro fuso",sàja,
salica,gàtol,botanica
salice,sàlës,
salice da vimini,pèndol,botanica
saliere,salì,
saligno,scoladés,
salire,nà de sùra,
salire,nà sö,
saliscendi,spadolèta,
saliscendi,bataröla,
"salita, erta",ràmpa,
saliva,baösa,
saliva,salìa,
saliva,spüda,
salmastro,salmàster,
salmerino,salmerì de fiöm,pesce-pesca
salnitro,salmìstër,
salsiccia,salsésa,
saltellare su una gamba,gambaröla,gioco
saltimpalo,colturì,ornitologia
saltimpalo,machèt borèla,ornitologia
saltimpalo,machèt de la regìna,ornitologia
saltimpalo,machét de làma,ornitologia
saltimpalo,machét invernér,ornitologia
saltimpalo,machét nostrà,ornitologia
saltimpalo,machì,ornitologia
saltimpalo,miarì,ornitologia
saltimpalo,simì,ornitologia
salto,sbàls,
salumi,salöm,
salvarsi,portà föra la pèl,
salvarsi,scampà,
salvia,ënsàlvia,
salvia rosa,sàlvia risulìna,botanica
sambuchella o podagraria,ulés,botanica
sambuco acquatico,antàna selvàdega,botanica
sambuco acquatico,balù de név,botanica
sambuco acquatico,biancù,botanica
sambuco acquatico,lantà,botanica
sambuco acquatico,lentà mas'cc,botanica
sambuco acquatico,sambüghìna,botanica
sambuco cavallino,sambüch rós,botanica
sambuco comune,olés,botanica
sambuco comune,sambüch,botanica
sangue,sàngh,
sangue dal naso,sàngh grögnì,
sangue e pus,sanguaròt,
sanguigno,sanguì,
sanguinaccio,sambrugnì,cucina
sanguinello,sanguanèla,botanica
sanguinello,sanguanì,botanica
sanguinello,sànguën,botanica
sanguinerola o fregarola,sanguinèl,pesce-pesca
sanguisuga,singuèta,
sano,belvédër,
sansa,gnòcol,
sansa,pelizìna,
santo che non c'è (il),sanmài,
santocchieria,chitinarìa,
santolina,ambrògn fèmina,botanica
santoreggia,segrezöla,botanica
santoreggia,sigrizìna,botanica
san Vito (ballo di s.),sanvìt,malattia/male
sapere,saì,
saponaria,èrba gràsa,botanica
saponaria,èrba lavànda,botanica
saponaria,èrba saunìna,botanica
saponaria,saunèta,botanica
sapone,saù,
saponetta,saunèta,
sapore,saùr,
sapore acetoso,fórt,
sapore di uve acerbe pestate,agrèst,arcaico
saporita,saurìda,
saporito,saurìt,
saputo,saìt,
saracco (sega trapezoidale libera da un lato e dall'altro fermata da corta impugnatura),seràgol,
saracinesca,öséra,arcaico
sarchiare,sapà sö,
sarchiare,sgröbià,
sarchiare le botti,sapà föra le èze,
sarchiata,sgröbiada,
sarchio,sàpa dei müradùr,attrezzo
"sarchio, zappa a due punte",sarsèl,
sarcofago,sarcòfech,
sarda,crognöla,minerale
sardo,sardegnöl,
sarmento,sarmènta,
sarmento,sermènta,arcaico
sassaia,caràër,arcaico
sassaia,caravìna,
sassaiola (far la),fàla a balotàde,
sassata,balotàda,
sassata,cogolàda,
sassi di smeriglio,sgurighì',
sassifraga,tróghe,botanica
sassifraga,tüghe,botanica
sassifraga,tüghe de cafè,botanica
sasso,balòt,
sasso,cógol,
sasso tondo,pecòta,gioco
sasso tondo,pìca,gioco
sasso tondo,picòt,gioco
sasso tondo di selce,serégn,arcaico
sassolino,balutì,
sassolino,sasulì,
satiraccio,satirù,
"satollo, sazio",clöd,arcaico
"satollo, sazio",sadól,
savetta,saèta,pesce-pesca
savetta,seèt,pesce-pesca
savoiardi,anizì,
sbadataggine,locàda,
sbadigliare,sbadacià,
sbadiglio,sbadàcc,
sbagliare,canà,
sbagliare,fa padèla,
sbagliata,canàda,
sbalordire,ënlochì,arcaico
sbalzo,sbàls,
sbaraglio,sbarài,
sbarbare,sbarbà,
sbarra,bàra,
sbarra,sbàra,
sbarra del carro,rónga,
sbarramento del fiume,traàda,pesce-pesca
sbatacchiare,sbatacià,
sbattuto,sbatìt,
sbavare la stampa,sbaesà,
sbavatura,sbaadüra,
sbavazzare,sbaösà,
sbeffeggiare,schifunà,
sbellicarsi,sbigolàs,
sbellicarsi,sbogiàs del rìdër,
sbellicarsi,sganasàs dal rìdër,
sberla,lèca,
sberleffo,sbèrgna,arcaico
sberleffo,sberlèf,
sbevazzare,sbagasà,
sbicchierare,sbicerà,
sbieco,sbiès,
sbieco (di s.),schintù,
sbieco (di s.),sentù,arcaico
sbirciare,sberlöcià,
sboccacciato,bocalù,
sboccato,sbocaciù,
sboccato,sbocalàt,
"sboccia, esce fuori",sbrògna,
sbocco,sgùl,
sbollentare,sbojentà,
sbornia,bàla,
sbornia,balùciòca,
sbornia,piómba,
sbornia,sömia,figurativo
sborsare,picià,gergo-volgare
sbottonare,disbutunà,
sbozzolare (raccogliere i bozzoli del baco da seta),catà le galète,
sbozzolare (raccogliere i bozzoli del baco da seta),pelà le galète,
sbozzolare (raccogliere i bozzoli del baco da seta),sbosolà,
sbozzolare (raccogliere i bozzoli del baco da seta),sgaletà,
sbozzolare (togliere i bozzoli del baco da seta dalla paglia),desgaletà,
sbricio,sbrìs,arcaico
sbriciolare,sbrizolà,
sbriciolare,sfragolà,
sbriciolare,sfrigulà,
sbriciolare,smigulà,
sbrigati !,àmbola !,gergo-volgare
sbrigati !,möët !,
sbrogliare,disdbrojà,
sbrogliare,sbrója,
sbruffone,sbrufù,
sbucciare,mondà,
sbudellarsi,sbödelàs,
sbuffare,sopià,
scabbia,scàbia,malattia/male
scabiosa montana,scabiùsa,botanica
scabiosa montana,vedoìna,botanica
scabrosità,gràna,
scacazzare,sbrenzà,
scacazzare,scagasà,
scacazzare,schità,
scacazzare,schitulà,
"scacciacani, rivoltella a salve",scasacà,
scacciapensieri,rebéba,
scacciapensieri,rebéba,
scaccino,raspì,
scaccino,scasì,
scafandro,scafàndër,
scaffale,scansièl,
scaglia,scàja,
scaglia di pietra,sgàa,
scaglia di pietra,sgàja,
scagliare,sfronzà,arcaico
scaglie di legna,margugnì,
scaglie di legna,tàche,
scagliola,scajöla,
scala a pioli,scalèt,
scala a pioli triangolare,scalempèrt,
scala grande,scalitù,
scalcagnato,sgalvagnàt,
scalciare,sbarà,
scalda vivande,scaldapiàt,
scaldaletto,mònega,
scaldaletto,trabìcol,
scaldamano,manàtola,gioco
scaldarsi,ciapà 'na càlda,
scaldino,marì,arcaico
scaldino,scaldì,
scaldino,scadamà,
scaldino,scaldapè,
scalfire,sfrizà,
scalmana,àmpia,arcaico
scalmana,riscàld,
scalmana,scalmàne,
scalmana,scalmanì,
scalmi (levare i remi dagli s.),scalmà,
scalmo,scàlëm,
scalmo,scàrmol,
scalo,cargadùr,
scalpellino,pesoclì,arcaico
scalpellino,pîcapréde,
scalpellino,scarpilì,
scalpello,scarpèl,
scalpello da scultore,gradìna,
scalpello grosso,sgrosadùr,
scalpello sagomato,gösa (at),
scalpicciare,pestezà,
scaltrire,smalisià,
scaltrito,barachér,
scalzo,scàls,
"scalzo, piedi nudi",penüt,
scambi (chi fa),stupilì,
scambi di poco conto,scambiòcc,
scambio in natura,stopelà,arcaico
scampagnata,prolàda,arcaico
scampagnata,scampagnàda,
scamparla,sbüzàla föra,
scamparla,scampàla,
scampolo,ciàp,
scampolo,ciapèl,
scampolo,scamù,arcaico
scanalatura conica d. chiavica,cardenàl,
scandaglio,scandài,
scandalida o loto dei prati,scarpìne de la Madóna,botanica
scanderona,betònega,botanica
"scanderona, sclarea",èrba moscadèla,botanica
scannello (taglio di carne bovina),poscül,
scansafatiche,braghér mansì,
scansafatiche,liscù,
scansafatiche,schéna falàda,
scansia,scansièl,arcaico
scapaccione,cöcömër,figurativo
scapaccione,scopàsa,
scapaccione,scopasù,
scapaccioni (dare s.),scopasà,
"scapestrato, vivace",morbinùs,
scapolo,pöt,
scappare,biöscà vià,
scappare,scapà,
scappare,smapà,gergo-volgare
scappare,telà,gergo-volgare
scappellotto,cupinù,
scappellotto,pelòch,
scappellotto,scöfiòt,
scarabocchio,scarabìs,
scarabocchio,sgòrbe,
scarabocchio,spegàs,
scarafaggio,pampògna,arcaico
scarafaggio,panaròt,bassa bresciana
scarafaggio,scaraàs,insetto
scaraventare,sfrinzà,arcaico
scardaccione,rimès,botanica
scardasso,sgàrz,attrezzo
scaricalasino (gioco tra ragazzi portandosi a vicenda a cavalcioni sulle spalle),saltamolèta,gioco
scaricare,discargà,
"scariola, scarola",scaröla,botanica
scarmigliata,sparpajùla,
scarno,scàrmo,arcaico
scarola estiva,bàrba dei fra,botanica
"scarolina, rete p.",scarölì,
scarpa,piòna,gergo-volgare
scarpe,fangùse,gergo-volgare
scarpe,piòne,gergo-volgare
scarpina,scarpì,
scarpine,pëpè,"daddolo, smanceria"
scarponcino alto,polachì,
scarti di suole,sölàm,
scarto,maròca,arcaico
scarto del lino,gàia,
scarto del riso,risèta,
scarto del riso,risìna,
scartocciare,dis'ciurcià,
scartocciare,descartà,
scatto del dito medio,petegòs,
scatto suoneria d. orologi,cagnöla,
"scavallare, correre",scaalà,
scavare,scaà,
scavezzacollo,scaesacòl,
scavo rettilineo nella marcita,candéla de la marsènta,
scazzone,bòza,pesce-pesca
scegliere,catà fò,
scegliere,tö föra,
"scelta, cernita",sernìda,
scempiaggine,lözità,arcaico
scendere,nà zó,
scendere,vègnër zò,
scervellarsi,scarpelàs,
scervellato,cobüs,
scheggia,scàja,
scheggia,scajöla,
scheggia,schìda,
scheggia,stèla,
scheggia di legno per panieri,scödès,
scheggiare,schidà,
scheggiato,schidàt,
scheletro,pentegòs,
scheletro,carcòs,
schema,mòdola,
schernire,scorbacià,
scherzi,àcc,
scherzo,bèrla,
schiaccialimoni,schisalimù,
schiaccialimoni,ströcalimù,arcaico
schiaccianoci,schisanùs,
schiacciare,schisà,
schiacciare violentemente,squartarà,arcaico
"schiacciata, focaccia",spongàda,
schiacciato,schisàt,
schiaffo,papìna,
schiaffo,sbèrla,
schiaffo,s'ciàf,
schiaffo,s'ciafa,
schiaffo,slèpa,
schiaffo,svèntola,
schiaffone,slepù,
schiamazzare,ciochezà,
schianto,sfracèl,
schiappa,s'cèpa,
schiappa,s'ciàpa,
schiarire,s'ciarì,
schiarita,s'ciarìda,
schiava,sìciàa,
schidione,schidù,
schiena,gabàna,gergo-volgare
schiena,gròpa,
schiena,schéna,
schienale,dèrma,arcaico
schietta,s'cèta,
schietto,s'cèt,
schifiltosa,schìnfia,
"schifiltoso, schizzinoso",schifiltùs,
schioppettare,fugà,arcaico
schioppettata,s'ciopetàda,
schioppo a canna corta,s'ciopèta,
"schioppo, fucile",s'ciòp,
schiribilla,ghilardì,ornitologia
schiribilla,girardì,ornitologia
schiribilla,girardìna,ornitologia
schiuma,s'ciömà,
schiuma,spiömà,
schiumaiola,manèstër foràt,
schiumaiola,s'ciömaröl,
schiumare,s'ciömà,
schiumare,spiömà,
schiumoso,spiömùs,
schivamestieri,petegòs,
schizzare,schisà,
schizzetto,schisèt,
schizzinosa,sgnìnfa,arcaico
schizzinoso,beschisiùs,arcaico
schizzinoso,malmustùs,
schizzinoso,möfiét,
schizzinoso,schifiltùs,
schizzinoso,schifiusèt,
schizzinoso,schisignùs,
schizzinoso,spösét,
"sciabica, rete pesca",remàcc,pesce-pesca
sciabola,sàbla,arcaico
sciabordare,sbarbacià,
scialacquare,spendacià,
scialacquatore,spendaciù,
scialle,sciàl,
scialle,scosàl,
sciamare,samà,
sciame,sàm,
sciame d'api,vesenèl,
sciancato,sgarlàt,
"sciarpa, mantelletto",pelegrìna,arcaico
sciatica,siàtega,malattia/male
"sciattone, ciabattone",scalfaròt,
"sciattone, ciabattone",stregusù,
"sciavero, asse con corteccia",scorsòt,
"scilla bifolia, giacinto azzurro","arsizì, narsìs selvàdech",botanica
scimmia,sömia,
scimmiottare,sömiotà,
scimmiotto,sömiòt,
scimunito,ënsiminìt,
scimunito,sömiòt,
scintilla,bornìs,
scintilla,sdàrsa,arcaico
scintilla,maringhì,
scintilla,strésa,
scintilla,strìsa,
sciocco,pampalüch,
sciocco,sonàl,arcaico
sciocco,tabalóre,figurativo
sciocco,calisù,
sciocco,ëntréch,
sciocco,marmòta,
sciocco,olòt,
sciocco,paseròt,
sciocco,peteròt,
sciocco,taramòt,figurativo
sciocco,lùco,
sciocco,merlòt,
sciocco,taelòt,
sciocco,paolòt,figurativo
sciocco,babuì,
sciocco,bagià,
sciocco,bandalöch,arcaico
sciocco,dàrdër,
sciocco,macù,
sciocco,mamào,
sciocco,màrtor,
sciocco,pabiòch,
sciocco,papào,
sciocco,patòla,
sciocco,tabacù,
sciocco,tananài,
sciocco,tùrta,
sciogliere,destrempà,arcaico
scisto,leguégn,minerale
sciupare,strazà,
"sciupatore, senza riguardo",strapasù,
scivolare,biöscà,
scivolare,sbriscià,
scivolata,biöscàda,
scivolata,biöscaröla,
scivolone,biüscù,
scocciatore,rànza,
scocciatore,rasegòt,
scodella di forno fusorio,lözèl,arcaico
scodellare,manestrà,
scodellino,scüdilì,
"scodinzolare, fare moine",menà la cùa,
scoiattolo,gùsa,arcaico
scoiattolo,scheràt,zoologia
scolare,sgolà,
scolaro,scolér,arcaico
scolatoio,aiguaröl,
scolatoio,scolaröla,
scolatoio di miniera,scavès,
scollato,disculàt,
scollatura,decolté,francesismo
scollatura,sgoladüra,
scollatura (con s.),sgolàt,
"scolo, scarico",sgolamènt,
"scolo, scarico",sgoladùr,
"scolo, scarico",sgul,
scolorirsi,smarìs,
scommessa,quaciù,
scommessa,squaciù,
scommettere,pirià,arcaico
scompagnato,discompagnàt,
scompigliare,samarà,
scompisciarsi,sbödelàs del rìdër,
sconquassato,scasàt,
scontenta,pépia,
scontrarsi,ënsöcàs,
scontrino del lotto,rifìrma,
scontroso,sanàër,figurativo
sconvolgimento di stomaco,rügamènt de stòmëch,
scopa,scùa,
scopa da stalla,sgarneròt,
scopa di saggina,sgarnéra,
scopa piccola,spasèta,
scopare,scûà,
scoperchiare,disquarcià,
scoperchiare,scoèrzër,arcaico
scopino,scûì,
scopino per fornelli,smansaröl,
scopone,scuù,
scoppia,s'ciòpa,
scoppiare,s'ciopà,
scoppiare,sbrognà,
scoppiata,sbaràda,
scoppiettare,s'ciopetà,
scoppiettare,s'ciopezà,
scoprire,disquarcià,
scoprirsi il petto,sbaratàs,arcaico
"scorare, scoraggiare",storà,
scorciatoia,scürtaröla,
scorciatoia (prendere una s.),nà a treèrs,
scordio,èrba ài,botanica
scoreggia,scorèza,
scoreggiare,scorezà,
scoreggione,scurizù,
scoria del ferro,chigàsa,
scoria del ferro,lòpa,
scoria del ferro,méa,
scoria del ferro,séa,
scoria del ferro,schigàisa,
scornabecco,òrgna,botanica
scornabecco,scarpalès,botanica
scornare,scornacià,
scornare,tröcà,
"scoronare, recitare il rosario",scurunà,
scorpacciata,paciàda,
scorpacciata,spansàda,
scorpena rossa,scòrpën,pesce-pesca
scorrazzare,scavrezà,
scorrazzare,sföregatà,arcaico
scorrazzare,sveretà,arcaico
scorrevole,ladì,
"scorrimano, corrimano",mantegnaröla,
scorta mobile dei coloni,malansìa,arcaico
scortecciare,scorsà,
scortese,dispiazènt,
"scorza, baccello",rösca,arcaico
scosciarsi,sgalunàs,
scossone,stalòs,
scostarsi,nà 'n bànda,
scotola per il lino,spàdola,
scotola per il lino,spàdola,attrezzo
scotolare,spadolà,
scotta,legnöla,
scottante,scotènt,
scottante,scotét,
scottare,fugà,
scottare,sbrojà,
scottare,scotà,
scottare i bozzoli,solà le galète,
scottare la verdura,broà,
scottato,broàt,
scranno,scàgn,
scremare,sfiurà,
screpolatura della pelle,cripì,
screpolatura della pelle,s'cipì,
screziato,bènt,arcaico
screziato,ëntersàt,
scribacchino,scribacì,arcaico
scricchiolare,cricà,
scricchiolio,scrìch,
scricciolo,arsì,ornitologia
scricciolo,bözzerì,ornitologia
scricciolo,büzasés,ornitologia
scricciolo,cërëcè,ornitologia
scricciolo,cèrëch,ornitologia
scricciolo,pich del frèt,ornitologia
scricciolo,reatì,ornitologia
scricciolo,reatì de la név,ornitologia
scricciolo,sbüzasés,ornitologia
scricciolo,sentopés,ornitologia
scrignetto,scrignolì,
"scrima, regola",scréma,arcaico
scriminatura,èrtës,arcaico
scriminatura,rìga dei caèi,
scriminatura,schìda,
scritta,scriìda,
scrittoio,scritóre,arcaico
scrivano,scritùr,arcaico
scrivere,scrìër,
scroccare,nà a röda,
scroccone,pagadùr pégher,
scroccone,röda,figurativo
scroccone,scrucù,
scrofa,pòrca,
scrofa,ròja,
scrofa,sìna,
scrofa,pòrca,
scrollare,scusunà,
scrollata,sgorlìda,
scrollato,sgurlìt,
"scroscio, rovescio d'acqua",ciocà de làqua,
"scroscio, rovescio d'acqua",scròs,
scrostare,sgröstelà,
scroto,pèl de le bàle,
scrutinare,balotà,
scucito,discuzìt,
scudo,scüd,
sculacciare,scülasà,
sculaccione,scülasù,
scuoiare,caà la pèl,
scuola,scöla,
scuotere,scusunà,
scuotere,segotà,
scuotere,stintinà,
scuotere,sgorlésër,
Scure,Sügarèt,
scure,manéra,
scure a manico lungo,sigùr,
scure a manico lungo,sügür,
"scure, accetta",manarì,
scurire,scürì,
scusso,scüs,
sdegnoso,stisùs,
sdentato,sganasàt,
sdolcinato,domistighì,
sdraiarsi,bötàs zò,
sdraiarsi,sbracàs zò,
sdraiarsi,svacàs,
sebbene,sebé,
seccapalle,sgionfabalù,
seccare,sgionfà i gós,
"seccare, dare fastidio",secà,
"seccare, essiccare",secà,
seccatore,rasighìsgionfù,
seccatore,tórcol,figurativo
seccatura,stöfàda,
seccatura,smorbàda,
secchia del mungitore,sedèla,
secchia di legno,mastèla,
secchia di legno,sécia,
secchiello dell'acqua santa,santaröl,
secchio,sécc,arcaico
secchio di legno,cobiöl,arcaico
secchio di legno,mastelèt,
secchio di legno,secèt,
secchio grosso di legno,seciòt,
secco,ëmpìch,figurativo
secco,sèch,
sedano,sèlëno,botanica
sedano,selerìb,botanica
sedere,cül,anatomia
sedere,dedré,anatomia
sedere,forèl,gergo-volgare
"sedere di traverso, sul margine",sintù,
sedersi,sentàs,
sedia,cadréga,arcaico
sedia,scàgna,
"sedurre, affascinare",catramacià,arcaico
sega,ràsega,attrezzo
sega a punta per potare,lözèrta,
sega grossa,rasegòt,
sega grossa da usare in due,segàcia,
"sega per sagomare, a lama fine",voltì,
sega piccola,raseghìna,
segala,sègghël,botanica
segala cornuta,strözì,agricoltura
segare,rasegà,
segata,rasegàda,
seggio,scagnèl,
seggiolaio,scagnì,
seggiolino del mungitore,pécol,
seggiolino del mungitore,scagnèl,
seggiolino del mungitore,scagnì,
seggiolino del mungitore,scagnilì,
seggiolone,scagnù,
"seghetta, stringilabbro",paladìna,
seghetto,rasighì,
segmento di ferro che ferma cerchio di ferro della botte,stichitù,
segmento di ramo,stómbol,
segnalibro,giandìna,
segnatoio (arnese a punta per tracciare linee o segni come guida in un lavoro),rigaröl,attrezzo
sego,séf,
seguire,dëdrevìa,
seguitare,segötà,
selce,sèlës,
selciare,ënresolà,
selciare,resà,
selciare,resolà,
selciare,salezà,
selciato,rés de cògol,
selciatore,risì,
selciatore,salizì,
selciatore,sulì,
sella,arsù,
sellaio,selér,
sellino,silì,
selvaggina,selvàdëch,
selvaggio,selvàdëch,
selvatico,salvadegòt,
selvatico,selvàdëch,
semaio,semài,
sembra,sömèa,
sembrare,aparì,
sembrare,parì,
sembrare,apàrër,
sembrare,pàrër,
seme delle carte da gioco francesi,pìca,gioco
seme santo,sominsìne sànte,botanica
