ITA,BS,CATEGORY
Altea,Malvù,botanica
Altercare,Racolà,
Alterigia,Altör,arcaico
Altezzoso,Smèrdol,figurativo
Alticcio,Ciarìt,
Alticcio,Ströt,figurativo
Altri,Àltër,
Altrimenti,Senò,
Altrimenti,Sedenò,
Altro ieri,Altrér,
Altroché,Alterfàt,
Altroché,Bé a bèla,
Alveare,Casèta de le àe,
Alveare,Borgasöl,arcaico
Alzare,Leà,
Alzarsi,Lià sö,
Alzata per stoviglie,Credènsa,
Alzato,Leàt sö,
alzavola,gaarèl,ornitologia
alzavola,gàër,ornitologia
alzavola,gaarèla,ornitologia
alzavola,garganèl,ornitologia
alzavola,gàvër,ornitologia
alzavola,grécol,ornitologia
alzavola,nidrì,ornitologia
Alzo  (strumento di mira),àls,attrezzo
Amante,mèco,
"Amarasca, maraschino",ratafià,arcaico
Amarena,ìsola,
Amarena,maràsca,
Amarena selvatica,marinì,botanica
Amarezza,magù,francesismo
Amarone,amarù,
Ambio del cavallo,contrapàs,
ambulante di arrosti,rustisér,arcaico
ambulante di formaggi,formaì,
ambulante di formaggi,formaér,
ambulante di liquori,liquorìsta,arcaico
amitto,panulì,
ammaccare,sacagnà,
ammaccare,smacà,
ammaccare,smasöcà,
ammaccare,sobàtër,
ammaccare,stosà,
ammaccatura,bögna,
ammaccatura,bòta,
ammaccatura,macadüra,
ammaccatura,sacàgn,
ammaccatura,stòs,
ammaccatura,stosadüra,
ammaccatura,sobatidüra,
"ammannito, preparato",trat aibé,
ammassare,ramasà,
ammattire,pirlà,
ammattire,sorà,
ammattirsi,smatìs,
ammazzare,copà,
ammazzare,masà,
ammazzare,tö föra,figurativo
ammiccare,cignà,
ammogliarsi,tö moér,
ammogliato,maridàt,
ammollare,mojà,
ammollare,smojà,
ammollo,en mìsa,
ammollo,moèta,arcaico
ammollo,mòi,
ammollo,mòja,
ammollo,smòi,
ammorbare,smorbà,
ammorbare,tarnegà,
ammorbare,töfegà,
ammorbidire,smolzinà,
ammorbidito,smolzinàt,
ammucchiare,ënmöcià,
ammuffire,müfì,
ammuffito,ëntüfàt,
ammuffito,möfét,
amoreggiare,slimunà,
amoreggiare,smosegnà,
amoreggiare,smuruzà,
ampollina,bocalìna,
ampollina,carafìna,
anagallide,èrba che fa cantà le galìne,botanica
anagallide,èrba piagalìna,botanica
anatra,nedròt,ornitologia
anatra selvatica,gàër,ornitologia
anatroccolo,nidrì,ornitologia
anca,pàla del galù,anatomia
anche,àch,
anche,apò,
ancia,piìda,musica
ancora (avverbio di tempo),acamò,
ancora (avverbio di tempo),amò,
andare,ëndà,
andare,nà,
andare a letto,nà  balì,gergo-volgare
andare adagio,endà a belàze,
andare balzelloni,a saltarèi,
andare di sghimbescio,schintà,
andare in oca,ëncantàs vià,
andare in rovina,nà de àna,
andare senza giacca,nà 'n spalèta,
andarsene,caàsela,
andarsene,sbignàsela,arcaico
andati,nàcc,
andato,nàt,
andatura,ànda,
andatura,andàda,
andatura,andadüra,
andiamo,ëndóm,
"andito, corridoio",àndëch,
"andito, corridoio",àndët,arcaico
"andito, corridoio",andeghèt,arcaico
"andito, corridoio",andèt,
anestesia,sdòrmia,
anfora di terracotta,drósa,
anfora di terracotta,olòt,bassa bresciana
angelica di bosco,bragòse,botanica
angelica di bosco,cagnòcc,botanica
angina di petto,atàco de cör,malattia/male
angolatrice (attrezzo del falegname),spisidùr,attrezzo
angolo,cantù,
angoloso,cantunàt,
angoscia,angósa,
angoscia di desiderio,angósa al cör,
angosciato,cör strosàt,
anice,ànës,botanica
aniceto,camilòt,botanica
aniceto,danét,botanica
aniceto,doanét,botanica
aniceto,èrba sànta,botanica
animelle,latizì,arcaico
anisetta,mistrà,
anitra,nèdra,
annacquare il vino,slongà 'l vì,
